id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
1,1975,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903,genre fiction
2,1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267,genre fiction
3,2015,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,genre fiction
4,2008,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction
5,2011,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,genre fiction
6,2015,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,genre fiction
7,2011,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,genre fiction
8,1994,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997,nonfiction
9,2012,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,genre fiction
10,1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872,genre fiction
11,2004,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,genre fiction
12,1954,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671,fiction
13,2010,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,genre fiction
14,1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,genre fiction
15,1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,genre fiction
16,1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,genre fiction
17,1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,genre fiction
18,2006,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction
19,1948,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,genre fiction
20,2006,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction
21,2013,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction
22,2000,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction
23,1991,Needful Things,Stephen King,,Intermediate,3.87,153821,genre fiction
24,1993,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,genre fiction
25,1996,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction
26,1981,Cujo,Stephen King,spa,Intermediate,3.65,158215,genre fiction
27,1993,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,genre fiction
28,2004,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction
29,1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction
30,1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,genre fiction
31,1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,genre fiction
32,2010,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,genre fiction
33,2003,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,genre fiction
34,2006,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction
35,2007,,Brandon Sanderson,eng,Intermediate,4.35,150736,genre fiction
36,2015,After You,Jojo Moyes,eng,Intermediate,3.7,99342,genre fiction
37,2011,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,genre fiction
38,1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,genre fiction
39,2005,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,genre fiction
40,1995,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,genre fiction
41,2003,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,genre fiction
42,2003,Oryx and Crake,Margaret Atwood,eng,Intermediate,4,151500,genre fiction
43,1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,genre fiction
44,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4,134177,genre fiction
45,1999,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,genre fiction
46,1759,Candide,Voltaire,eng,Intermediate,3.76,151471,genre fiction
47,1975,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction
48,1983,Christine,"Stephen King, Marie Milpois",fre,Intermediate,3.72,151160,nonfiction
49,1960,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204,genre fiction
50,1950,The Story of Art,E.H. Gombrich,en-US,Intermediate,3.83,164708,genre fiction
51,2013,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,genre fiction
52,1997,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,genre fiction
53,2011,Silence ,Becca Fitzpatrick,eng,Intermediate,4.16,190722,genre fiction
54,2009,The Magicians,Lev Grossman,eng,Novice,3.47,147908,genre fiction
55,2004,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",eng,Famous,4.42,139501,genre fiction
56,2003,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,genre fiction
57,2002,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,genre fiction
58,1986,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,genre fiction
59,2012,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,genre fiction
60,1849,David Copperfield,"Charles Dickens, Jeremy Tambling",eng,Intermediate,3.96,150512,genre fiction
61,2007,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",eng,Intermediate,4.11,160607,genre fiction
62,1967,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",eng,Intermediate,4.32,131389,genre fiction
63,1968,A Wizard of Earthsea,Ursula K. Le Guin,en-US,Intermediate,3.99,155042,genre fiction
64,2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",eng,Intermediate,4,154476,genre fiction
65,1959,A Separate Peace,John Knowles,en-US,Intermediate,3.56,155901,genre fiction
66,1995,The Rainmaker,John Grisham,eng,Intermediate,3.91,137412,genre fiction
67,1605,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",eng,Intermediate,3.85,134931,genre fiction
68,1995,Assassin's Apprentice,Robin Hobb,eng,Intermediate,4.14,132777,genre fiction
69,1980,The Restaurant at the End of the Universe,Douglas Adams,eng,Intermediate,4.22,153838,genre fiction
70,2010,Torment,Lauren Kate,eng,Intermediate,3.89,174393,genre fiction
71,1901,The Tale of Peter Rabbit,Beatrix Potter,eng,Intermediate,4.17,162373,genre fiction
72,1953,The Silver Chair,"C.S. Lewis, Pauline Baynes",eng,Intermediate,3.95,170453,genre fiction
73,2008,The Hero of Ages,Brandon Sanderson,eng,Famous,4.46,143622,nonfiction
74,1993,"Girl, Interrupted",Susanna Kaysen,eng,Intermediate,3.9,145161,genre fiction
75,2007,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,,Intermediate,3.85,127096,genre fiction
76,1970,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",en-US,Intermediate,3.8,133728,genre fiction
77,2014,City of Heavenly Fire,Cassandra Clare,eng,Famous,4.48,177796,genre fiction
78,1986,Love You Forever,"Robert Munsch, Sheila McGraw",en-GB,Intermediate,4.34,159703,genre fiction
79,2006,Cell,Stephen King,en-US,Intermediate,3.64,144591,genre fiction
80,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,eng,Intermediate,4.32,113565,genre fiction
81,1977,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng,Intermediate,3.87,134106,genre fiction
82,1987,The Drawing of the Three,Stephen King,eng,Intermediate,4.23,139052,nonfiction
83,2008,The Forgotten Garden,Kate Morton,en-GB,Intermediate,4.12,138377,genre fiction
84,1925,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",eng,Intermediate,3.98,131856,genre fiction
85,2002,This Lullaby,Sarah Dessen,eng,Intermediate,4.03,151829,genre fiction
86,2000,Plain Truth,Jodi Picoult,eng,Intermediate,3.97,128406,genre fiction
87,2010,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,eng,Intermediate,3.7,127186,fiction
88,1902,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",eng,Intermediate,4.09,154517,genre fiction
89,2011,"Thinking, Fast and Slow",Daniel Kahneman,eng,Intermediate,4.08,136950,genre fiction
90,1982,The Mists of Avalon,Marion Zimmer Bradley,eng,Intermediate,4.12,157736,genre fiction
91,1970,"Are You There God? It's Me, Margaret",Judy Blume,eng,Intermediate,3.89,151789,genre fiction
92,2002,Nights in Rodanthe,Nicholas Sparks,eng,Intermediate,3.82,129807,genre fiction
93,2014,Mr. Mercedes,Stephen King,eng,Intermediate,3.92,125847,genre fiction
94,2007,All Together Dead,Charlaine Harris,eng,Intermediate,4.05,162689,genre fiction
95,1997,Midwives,Chris Bohjalian,en-US,Intermediate,3.97,133155,genre fiction
96,1985,The Polar Express,Chris Van Allsburg,en-US,Intermediate,4.29,168001,nonfiction
97,1989,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",en-GB,Intermediate,4.29,141945,genre fiction
98,1987,Patriot Games,Tom Clancy,eng,Intermediate,4.11,141674,genre fiction
99,1998,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,111856,genre fiction
100,2013,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",eng,Intermediate,3.94,135635,genre fiction
101,2005,Dead as a Doornail ,Charlaine Harris,eng,Intermediate,4.01,169560,genre fiction
102,2011,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,en-US,Intermediate,4.01,176433,fiction
103,1959,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,genre fiction
104,2011,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,genre fiction
105,1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,genre fiction
106,2011,,Mark Cotta Vaz,eng,Intermediate,4.3,188136,genre fiction
107,1950,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,genre fiction
108,2010,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,genre fiction
109,1880,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng,Intermediate,3.97,144497,genre fiction
110,2002,Prey,Michael Crichton,,Intermediate,3.72,131352,genre fiction
111,1956,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,genre fiction
112,2007,World Without End,Ken Follett,eng,Intermediate,4.23,128715,genre fiction
113,2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction
114,2012,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,genre fiction
115,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,genre fiction
116,1390,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",eng,Novice,3.48,148480,genre fiction
117,2006,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction
118,2011,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction
119,2009,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",eng,Intermediate,3.89,125195,genre fiction
120,1852,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,eng,Intermediate,3.83,137858,fiction
121,1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction
