id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
1,34160,20496,4.88,1,HarperCollins Publishers,7000
2,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250
3,47795,28677,8.69,3,"Amazon Digital Services,  Inc.",5500
4,41250,24750,7.5,3,Hachette Book Group,5500
5,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750
6,19960,0,4.99,5,"Amazon Digital Services,  Inc.",4000
7,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933
8,26182,15709.2,6.89,8,Hachette Book Group,3800
9,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733
10,23792.34,14275.404,6.49,10,Random House LLC,3666
11,17964,0,4.99,11,"Amazon Digital Services,  Inc.",3600
12,21564,12938.4,5.99,11,Penguin Group (USA) LLC,3600
13,3431.34,0,0.99,13,"Amazon Digital Services,  Inc.",3466
14,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466
15,21797.82,13078.692,6.54,15,Random House LLC,3333
16,16297.34,0,4.99,16,"Amazon Digital Services,  Inc.",3266
17,15968,0,4.99,17,"Amazon Digital Services,  Inc.",3200
18,15968,0,4.99,17,"Amazon Digital Services,  Inc.",3200
19,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
20,3035.34,0,0.99,19,"Amazon Digital Services,  Inc.",3066
21,11702.67,0,3.99,21,"Amazon Digital Services,  Inc.",2933
22,8569.34,0,2.99,22,"Amazon Digital Services,  Inc.",2866
23,2772,0,0.99,23,"Amazon Digital Services,  Inc.",2800
24,8171.67,0,2.99,24,"Amazon Digital Services,  Inc.",2733
25,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666
26,7774,0,2.99,26,"Amazon Digital Services,  Inc.",2600
27,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
28,2376,0,0.99,29,"Amazon Digital Services,  Inc.",2400
29,9576,5745.6,3.99,29,Hachette Book Group,2400
30,9308.67,0,3.99,30,"Amazon Digital Services,  Inc.",2333
31,4509.34,0,1.99,31,"Amazon Digital Services,  Inc.",2266
32,2178,0,0.99,32,"Amazon Digital Services,  Inc.",2200
33,13178,7906.8,5.99,32,HarperCollins Publishers,2200
34,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
35,17980,10788,8.99,35,Random House LLC,2000
36,1964.16,0,0.99,36,"Amazon Digital Services,  Inc.",1984
37,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
38,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
39,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
40,20309.55,12185.73,10.65,41,Random House LLC,1907
41,1873.08,0,0.99,42,"Amazon Digital Services,  Inc.",1892
42,7485.24,0,3.99,43,"Amazon Digital Services,  Inc.",1876
43,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
44,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
45,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
46,8982,0,4.99,48,"Amazon Digital Services,  Inc.",1800
47,3582,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
48,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
49,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
50,15058.27,9034.962,8.59,51,Hachette Book Group,1753
51,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
52,1705.77,1023.462,0.99,53,Random House LLC,1723
53,8517.93,0,4.99,54,"Amazon Digital Services,  Inc.",1707
54,1675.08,1005.048,0.99,55,Macmillan,1692
55,6687.24,0,3.99,56,"Amazon Digital Services,  Inc.",1676
56,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
57,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
58,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
59,1613.7,0,0.99,59,"Amazon Digital Services,  Inc.",1630
60,18394.85,11036.91,11.39,60,Hachette Book Group,1615
61,10384,6230.4,6.49,61,Random House LLC,1600
62,6320.16,0,3.99,62,"Amazon Digital Services,  Inc.",1584
63,4707,0,3,63,"Amazon Digital Services,  Inc.",1569
64,1522.62,0,0.99,65,"Amazon Digital Services,  Inc.",1538
65,5924.47,0,3.89,66,"Amazon Digital Services,  Inc.",1523
66,12040.93,0,7.99,67,"Amazon Digital Services,  Inc.",1507
67,13413.08,8047.848,8.99,68,Hachette Book Group,1492
68,2907.39,0,1.99,70,"Amazon Digital Services,  Inc.",1461
69,11553.54,6932.124,7.99,71,Penguin Group (USA) LLC,1446
70,5705.7,0,3.99,72,"Amazon Digital Services,  Inc.",1430
71,9890.85,5934.51,6.99,73,Penguin Group (USA) LLC,1415
72,5245.36,3147.216,3.79,75,Hachette Book Group,1384
73,5826.64,3495.984,4.21,75,"Amazon Digital Services,  Inc.",1384
74,2724.31,1634.586,1.99,76,Hachette Book Group,1369
75,5462.31,3277.386,3.99,76,Hachette Book Group,1369
76,6751.47,0,4.99,77,"Amazon Digital Services,  Inc.",1353
77,6676.62,0,4.99,78,"Amazon Digital Services,  Inc.",1338
78,1309.77,785.862,0.99,79,"Amazon Digital Services,  Inc.",1323
79,5933.78,3560.268,4.54,80,HarperCollins Publishers,1307
80,8482.43,5089.458,6.49,80,Hachette Book Group,1307
81,6447.08,3868.248,4.99,81,Random House LLC,1292
82,2539.24,1523.544,1.99,82,HarperCollins Publishers,1276
83,4907.7,0,3.99,85,"Amazon Digital Services,  Inc.",1230
84,1202.85,0,0.99,86,"Amazon Digital Services,  Inc.",1215
85,2417.85,1450.71,1.99,86,HarperCollins Publishers,1215
