id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
0,34160,20496,4.88,1,HarperCollins Publishers,7000
1,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250
2,47795,28677,8.69,3,"Amazon Digital Services,  Inc.",5500
3,41250,24750,7.5,3,Hachette Book Group,5500
4,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750
5,19960,0,4.99,5,"Amazon Digital Services,  Inc.",4000
6,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933
7,26182,15709.2,6.89,8,Hachette Book Group,3800
8,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733
9,23792.34,14275.404,6.49,10,Random House LLC,3666
10,17964,0,4.99,11,"Amazon Digital Services,  Inc.",3600
11,21564,12938.4,5.99,11,Penguin Group (USA) LLC,3600
12,3431.34,0,0.99,13,"Amazon Digital Services,  Inc.",3466
13,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466
14,21797.82,13078.692,6.54,15,Random House LLC,3333
15,16297.34,0,4.99,16,"Amazon Digital Services,  Inc.",3266
16,15968,0,4.99,17,"Amazon Digital Services,  Inc.",3200
17,15968,0,4.99,17,"Amazon Digital Services,  Inc.",3200
18,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
19,3035.34,0,0.99,19,"Amazon Digital Services,  Inc.",3066
20,11702.67,0,3.99,21,"Amazon Digital Services,  Inc.",2933
21,8569.34,0,2.99,22,"Amazon Digital Services,  Inc.",2866
22,2772,0,0.99,23,"Amazon Digital Services,  Inc.",2800
23,8171.67,0,2.99,24,"Amazon Digital Services,  Inc.",2733
24,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666
25,7774,0,2.99,26,"Amazon Digital Services,  Inc.",2600
26,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
27,2376,0,0.99,29,"Amazon Digital Services,  Inc.",2400
28,9576,5745.6,3.99,29,Hachette Book Group,2400
29,9308.67,0,3.99,30,"Amazon Digital Services,  Inc.",2333
30,4509.34,0,1.99,31,"Amazon Digital Services,  Inc.",2266
31,2178,0,0.99,32,"Amazon Digital Services,  Inc.",2200
32,13178,7906.8,5.99,32,HarperCollins Publishers,2200
33,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
34,17980,10788,8.99,35,Random House LLC,2000
35,1964.16,0,0.99,36,"Amazon Digital Services,  Inc.",1984
36,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
37,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
38,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
39,20309.55,12185.73,10.65,41,Random House LLC,1907
40,1873.08,0,0.99,42,"Amazon Digital Services,  Inc.",1892
41,7485.24,0,3.99,43,"Amazon Digital Services,  Inc.",1876
42,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
43,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
44,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
45,8982,0,4.99,48,"Amazon Digital Services,  Inc.",1800
46,3582,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
47,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
48,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
49,15058.27,9034.962,8.59,51,Hachette Book Group,1753
50,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
51,1705.77,1023.462,0.99,53,Random House LLC,1723
52,8517.93,0,4.99,54,"Amazon Digital Services,  Inc.",1707
53,1675.08,1005.048,0.99,55,Macmillan,1692
54,6687.24,0,3.99,56,"Amazon Digital Services,  Inc.",1676
55,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
56,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
57,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
58,1613.7,0,0.99,59,"Amazon Digital Services,  Inc.",1630
59,18394.85,11036.91,11.39,60,Hachette Book Group,1615
60,10384,6230.4,6.49,61,Random House LLC,1600
61,6320.16,0,3.99,62,"Amazon Digital Services,  Inc.",1584
62,4707,0,3,63,"Amazon Digital Services,  Inc.",1569
